Order ID,Order Date,Customer Name,Region,City,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount,Sales,Profit,Payment Mode,Column 1,Column 2
10001,10/19/2024,Kashvi Varty,South,Bangalore,Books,Non-Fiction,Non-Fiction Ipsum,2,36294,5,68959,10525,Debit Card,,
10002,8/30/2025,Advik Desai,North,Delhi,Groceries,Rice,Rice Nemo,1,42165,20,33732,6300,Debit Card,,
10003,11/4/2023,Rhea Kalla,East,Patna,Kitchen,Juicer,Juicer Odio,4,64876,20,207603,19850,Credit Card,,
10004,5/23/2025,Anika Sen,East,Kolkata,Groceries,Oil,Oil Doloribus,5,37320,15,158610,36311,UPI,,
10005,1/19/2025,Akarsh Kaul,West,Pune,Clothing,Kids Wear,Kids Wear Quo,1,50037,10,45033,9050,Debit Card,,
10006,4/6/2025,Vardaniya Jayaraman,West,Pune,Furniture,Chair,Chair Assumenda,5,40287,15,171220,23723,Credit Card,,
10007,10/13/2023,Drishya Khare,West,Mumbai,Clothing,Accessories,Accessories Minima,2,3636,5,6908,680,Debit Card,,
10008,8/17/2025,Misha Dua,North,Lucknow,Books,Biography,Biography Vel,1,15885,10,14297,1289,Debit Card,,
10009,3/7/2025,Arhaan Vala,North,Jaipur,Groceries,Spices,Spices Expedita,1,40834,20,32667,3701,Credit Card,,
10010,12/2/2024,Lavanya Hayer,West,Goa,Kitchen,Juicer,Juicer Voluptatibus,2,16686,15,28366,5703,UPI,,
10011,8/24/2025,Divyansh Thaman,North,Lucknow,Kitchen,Cookware Set,Cookware Set Doloremque,2,10761,20,17218,4140,Credit Card,,
10012,5/21/2024,Nishith Kumar,South,Hyderabad,Beauty,Perfume,Perfume Itaque,3,27066,10,73078,16217,Net Banking,,
10013,12/5/2024,Anika Khanna,North,Chandigarh,Home Decor,Vase,Vase Ratione,1,53951,5,51253,6826,Credit Card,,
10014,12/3/2023,Amani Acharya,East,Patna,Clothing,Women's Wear,Women's Wear Optio,5,23843,0,119215,21029,UPI,,
10015,7/25/2025,Anay Grewal,North,Jaipur,Kitchen,Juicer,Juicer Debitis,2,15444,5,29344,5535,COD,,
10016,10/13/2023,Stuvan Majumdar,East,Bhubaneswar,Electronics,Laptop,Laptop Numquam,5,51645,10,232403,35658,Debit Card,,
10017,5/24/2024,Ritvik Ramanathan,South,Hyderabad,Electronics,Smartwatch,Smartwatch Ad,3,52691,15,134362,26225,UPI,,
10018,9/7/2025,Darshit Sharma,South,Chennai,Groceries,Oil,Oil Odio,4,3775,10,13590,1235,Net Banking,,
10019,6/15/2024,Sara Chanda,East,Patna,Sports,Dumbbells,Dumbbells Soluta,3,16579,20,39790,4241,Credit Card,,
10020,1/11/2024,Gatik Ravi,West,Pune,Books,Textbook,Textbook Inventore,5,36393,5,172867,39438,Debit Card,,
10021,10/15/2023,Jivin Sunder,West,Ahmedabad,Kitchen,Refrigerator,Refrigerator Commodi,1,6574,20,5259,581,UPI,,
10022,3/16/2024,Kashvi Ratti,North,Lucknow,Groceries,Wheat,Wheat Natus,5,26762,15,113739,27267,Credit Card,,
10023,11/2/2023,Vivaan Goyal,West,Surat,Books,Comics,Comics Aperiam,1,47699,20,38159,8536,UPI,,
10024,7/10/2025,Nayantara Bhagat,East,Ranchi,Beauty,Face Cream,Face Cream Repellat,1,28257,10,25431,3960,Credit Card,,
10025,6/21/2025,Lakshay Ramakrishnan,North,Chandigarh,Electronics,Headphones,Headphones Itaque,5,24056,20,96224,20552,COD,,
10026,1/13/2024,Dhanush Vaidya,South,Chennai,Groceries,Rice,Rice Impedit,2,65756,5,124936,19545,UPI,,
10027,4/22/2025,Kimaya Rege,North,Lucknow,Beauty,Foundation,Foundation Illo,1,8276,0,8276,537,Net Banking,,
10028,12/12/2024,Anika Wable,East,Bhubaneswar,Furniture,Table,Table Error,3,731,0,2193,214,UPI,,
10029,8/27/2025,Kavya Bhatnagar,North,Delhi,Toys,RC Car,RC Car Amet,2,67085,20,107336,22035,Net Banking,,
10030,4/22/2024,Adira Seshadri,North,Chandigarh,Groceries,Sugar,Sugar Excepturi,5,79453,15,337675,80310,Debit Card,,
10031,1/7/2025,Zaina Sidhu,West,Goa,Groceries,Wheat,Wheat Consequuntur,2,25545,10,45981,9818,Credit Card,,
10032,12/11/2023,Bhamini Kuruvilla,North,Jaipur,Sports,Cricket Bat,Cricket Bat Voluptatum,4,76643,5,291243,40522,UPI,,
10033,6/24/2024,Kavya Saran,West,Ahmedabad,Furniture,Sofa,Sofa Deleniti,4,60561,20,193795,21971,Net Banking,,
10034,7/11/2025,Mannat Batta,East,Guwahati,Toys,RC Car,RC Car Quam,4,19080,20,61056,10008,Debit Card,,
10035,12/31/2023,Shayak Bala,South,Thiruvananthapuram,Toys,Action Figure,Action Figure Laboriosam,2,48271,20,77234,13626,Net Banking,,
10036,3/8/2025,Hrishita Kumer,South,Thiruvananthapuram,Beauty,Lipstick,Lipstick Accusantium,4,7232,15,24589,4644,Credit Card,,
10037,12/2/2024,Prisha Gaba,West,Surat,Sports,Dumbbells,Dumbbells Quas,2,78467,0,156934,9445,Credit Card,,
10038,10/19/2023,Arhaan Gole,North,Lucknow,Sports,Yoga Mat,Yoga Mat Quaerat,4,34124,5,129671,8392,UPI,,
10039,9/30/2025,Shaan Bala,East,Ranchi,Toys,Puzzle,Puzzle Assumenda,2,60907,0,121814,24379,COD,,
10040,11/16/2023,Taran Kala,North,Lucknow,Kitchen,Refrigerator,Refrigerator Libero,5,9102,10,40959,7786,Debit Card,,
10041,9/18/2024,Nitara Hayre,East,Guwahati,Toys,Board Game,Board Game Consequuntur,5,76782,20,307128,47122,UPI,,
10042,7/1/2025,Lavanya Tata,North,Amritsar,Toys,Doll,Doll Laborum,5,57559,5,273405,26969,Debit Card,,
10043,2/11/2024,Badal Dada,West,Surat,Electronics,Camera,Camera A,2,68630,0,137260,16783,Net Banking,,
10044,10/23/2024,Bhamini Sane,South,Coimbatore,Groceries,Rice,Rice Incidunt,5,64105,20,256420,61655,Net Banking,,
10045,11/3/2023,Eva Babu,East,Guwahati,Books,Textbook,Textbook Consequuntur,2,68202,0,136404,33861,Debit Card,,
10046,11/20/2023,Prerak Saha,West,Pune,Books,Biography,Biography Magni,1,36207,15,30776,5231,COD,,
10047,10/1/2025,Advik Sule,North,Delhi,Beauty,Perfume,Perfume Quisquam,3,55843,10,150776,23836,Credit Card,,
10048,9/3/2025,Divij Chawla,West,Surat,Sports,Tennis Racket,Tennis Racket Sapiente,5,60512,5,287432,41217,Credit Card,,
10049,1/22/2025,Nirvaan Ben,North,Delhi,Toys,Puzzle,Puzzle Dolorem,1,70834,10,63751,4232,UPI,,
10050,4/28/2024,Shlok Dayal,West,Ahmedabad,Clothing,Shoes,Shoes Deleniti,1,33485,0,33485,6131,COD,,
10051,5/4/2024,Vritika Cherian,East,Patna,Beauty,Perfume,Perfume Rerum,5,8568,5,40698,3936,UPI,,
10052,5/6/2025,Eshani Arya,East,Ranchi,Furniture,Sofa,Sofa Omnis,4,64645,5,245651,51928,UPI,,
10053,9/2/2025,Elakshi Bajwa,West,Goa,Books,Biography,Biography Illum,5,12976,0,64880,11967,COD,,
10054,4/15/2024,Jayant Kala,West,Pune,Clothing,Women's Wear,Women's Wear Odio,3,27698,20,66475,8947,UPI,,
10055,12/9/2023,Biju Mannan,East,Bhubaneswar,Sports,Tennis Racket,Tennis Racket Ea,2,28261,15,48044,10880,Debit Card,,
10056,5/19/2024,Alisha Sampath,North,Jaipur,Furniture,Bed,Bed Molestias,5,42462,0,212310,11609,Net Banking,,
10057,12/5/2023,Rhea Krishnamurthy,East,Patna,Home Decor,Wall Art,Wall Art Excepturi,4,62926,0,251704,40267,Credit Card,,
10058,10/16/2024,Samarth Chatterjee,East,Patna,Toys,Puzzle,Puzzle Ut,4,73473,15,249808,56964,Net Banking,,
10059,10/9/2024,Ojas Konda,West,Pune,Furniture,Cabinet,Cabinet Odit,3,29226,15,74526,17899,Net Banking,,
10060,5/16/2025,Heer Saran,West,Mumbai,Home Decor,Vase,Vase Necessitatibus,2,9860,10,17748,4404,Credit Card,,
10061,4/30/2025,Manikya Dar,West,Ahmedabad,Sports,Football,Football Eveniet,5,17665,0,88325,17529,UPI,,
10062,4/9/2024,Azad Kunda,South,Chennai,Kitchen,Cookware Set,Cookware Set Nisi,2,13751,15,23377,5553,Debit Card,,
10063,1/26/2025,Drishya Apte,West,Pune,Kitchen,Juicer,Juicer Totam,5,11226,10,50517,2567,Debit Card,,
10064,12/27/2023,Shray Arya,West,Pune,Toys,Action Figure,Action Figure Cum,4,70618,5,268348,50743,COD,,
10065,6/23/2024,Ritvik Madan,South,Bangalore,Books,Biography,Biography Nobis,3,37492,15,95605,19264,UPI,,
10066,6/22/2024,Purab Batta,North,Chandigarh,Kitchen,Juicer,Juicer Vero,2,34997,0,69994,11130,COD,,
10067,5/28/2025,Purab Krishna,West,Surat,Kitchen,Mixer Grinder,Mixer Grinder Recusandae,2,71572,10,128830,14013,Credit Card,,
10068,2/23/2024,Manikya Srinivasan,West,Goa,Books,Biography,Biography Ad,5,38936,5,184946,30145,COD,,
10069,11/24/2023,Raghav Gara,East,Bhubaneswar,Home Decor,Vase,Vase Molestiae,1,19506,0,19506,2911,Net Banking,,
